time	density	<l>	S2	S2angle	S4	S4angle	#growing	#shrinking	#segments	#trajectories	zippering_ev	crossover_ev	induced_catastrophe_ev	valid_deterministic_ev	invalid_deterministic_ev	stochastic_ev	optical_density	microtubules	segments_per_MT	random_severing_ev	intersection_severing_ev	S2opt	S2opt_angle	S4opt	S4opt_angle	occupied_intersections	R	R_x	R_y	R_z	G_eff_adjusted_normal	G_eff_adjusted_special	G_eff_measured	G_eff_adjusted_min	G_eff_adjusted_max	G_eff_adjusted_S2angle	nucleation_ev	deflection_ev	n_occupied_NCs
180	0.19413	6.52637	0.0417911	1.52543	0.0419312	0.646098	509	33	1667	2283	0	1752	0	4012	1140	745	0.19413	542	3.07565	0	0	0.0417911	1.52543	0.0419312	0.646098	219	0.0607309	-0.997134	0.0408441	0.063681	-0.050685	-0.050685	-0.0517863	-0.050685	-0.050685	-0.050685	615	1189	0
360	0.616955	11.2529	0.0367738	1.45642	0.00732519	0.0934443	856	143	4620	6635	0	14575	0	26531	4328	1880	0.616955	999	4.62462	0	0	0.0367738	1.45642	0.00732519	0.0934443	2202	0.0370968	-0.813976	-0.556837	-0.165457	-0.050685	-0.050685	-0.0510631	-0.050685	-0.050685	-0.050685	1283	4358	0
540	1.13908	15.4892	0.0303945	1.04864	0.00603172	-0.505579	1132	208	7951	11705	0	52118	0	87198	9087	3262	1.13908	1340	5.93358	0	0	0.0303945	1.04864	0.00603172	-0.505579	7477	0.0165979	-0.806524	0.512833	-0.294145	-0.050685	-0.050685	-0.0507875	-0.050685	-0.050685	-0.050685	1956	8916	0
720	1.75679	19.5188	0.0170488	0.797632	0.00698474	-0.7804	1372	268	11858	17706	0	125596	0	203042	14787	4854	1.75679	1640	7.23049	0	0	0.0170488	0.797632	0.00698474	-0.7804	17879	0.0341434	0.159023	0.33341	0.929274	-0.050685	-0.050685	-0.0505815	-0.050685	-0.050685	-0.050685	2640	14739	0
900	2.38579	23.0866	0.0176671	1.03268	0.00984397	0.513244	1535	348	15815	23793	0	240349	0	386164	21010	6587	2.38579	1883	8.39883	0	0	0.0176671	1.03268	0.00984397	0.513244	32897	0.0346333	0.170495	-0.44714	-0.878065	-0.050685	-0.050685	-0.0506841	-0.050685	-0.050685	-0.050685	3280	21366	0
1080	3.02914	26.1215	0.0242451	1.11127	0.0158611	0.443101	1673	440	19740	29872	0	406267	0	652879	27771	8521	3.02914	2113	9.34217	0	0	0.0242451	1.11127	0.0158611	0.443101	53293	0.0174491	-0.470807	0.69362	0.54519	-0.050685	-0.050685	-0.050637	-0.050685	-0.050685	-0.050685	3947	28755	0
1260	3.68531	28.4779	0.0272383	1.1794	0.0017352	0.0982607	1840	518	23804	36044	0	633470	0	1017318	35057	10554	3.68531	2358	10.095	0	0	0.0272383	1.1794	0.0017352	0.0982607	78454	0.00505603	-0.660979	0.708801	0.246389	-0.050685	-0.050685	-0.0505779	-0.050685	-0.050685	-0.050685	4621	36846	0
1440	4.36094	31.0034	0.0284994	1.42407	0.00720589	-0.346212	2000	563	27969	42407	0	935254	0	1509301	42870	12726	4.36094	2563	10.9126	0	0	0.0284994	1.42407	0.00720589	-0.346212	110101	0.0143138	-0.867037	0.209606	0.452009	-0.050685	-0.050685	-0.0505019	-0.050685	-0.050685	-0.050685	5305	45617	0
1620	5.05157	33.2415	0.0300056	1.40712	0.0126717	-0.186079	2128	641	32241	48845	0	1320066	0	2129366	50979	14986	5.05157	2769	11.6436	0	0	0.0300056	1.40712	0.0126717	-0.186079	147853	0.0217102	-0.93366	0.020344	0.357583	-0.050685	-0.050685	-0.0504572	-0.050685	-0.050685	-0.050685	5984	55053	0
1800	5.72578	36.2134	0.0294259	1.46981	0.0192504	-0.0711504	2184	697	36247	54939	0	1794894	0	2908983	59603	17392	5.72578	2881	12.5814	0	0	0.0294259	1.46981	0.0192504	-0.0711504	189966	0.0262705	-0.973312	0.0792495	0.215368	-0.050685	-0.050685	-0.0506276	-0.050685	-0.050685	-0.050685	6582	65004	0
