time	density	<l>	S2	S2angle	S4	S4angle	#growing	#shrinking	#segments	#trajectories	zippering_ev	crossover_ev	induced_catastrophe_ev	valid_deterministic_ev	invalid_deterministic_ev	stochastic_ev	optical_density	microtubules	segments_per_MT	random_severing_ev	intersection_severing_ev	S2opt	S2opt_angle	S4opt	S4opt_angle	occupied_intersections	R	R_x	R_y	R_z	G_eff_adjusted_normal	G_eff_adjusted_special	G_eff_measured	G_eff_adjusted_min	G_eff_adjusted_max	G_eff_adjusted_S2angle	nucleation_ev	deflection_ev	n_occupied_NCs
180	0.205796	6.33421	0.024473	-0.806265	0.0352417	0.187376	551	41	1780	2430	0	1862	0	4554	1253	857	0.205796	592	3.00676	0	0	0.024473	-0.806265	0.0352417	0.187376	242	0.0505863	0.871972	-0.299151	-0.387523	-0.050685	-0.050685	-0.0499585	-0.050685	-0.050685	-0.050685	685	1338	0
360	0.652848	11.7546	0.0477958	1.12715	0.0110176	0.59629	894	118	4799	6952	0	16394	0	29323	4582	1950	0.652848	1012	4.74209	0	0	0.0477958	1.12715	0.0110176	0.59629	2484	0.0333785	-0.894033	0.128359	0.42922	-0.050685	-0.050685	-0.0502288	-0.050685	-0.050685	-0.050685	1348	4671	0
540	1.196	15.9887	0.0391281	1.38205	0.0135707	0.213606	1153	210	8270	12223	0	54840	0	91969	9313	3367	1.196	1363	6.0675	0	0	0.0391281	1.38205	0.0135707	0.213606	8124	0.035323	-0.457961	-0.154466	0.87545	-0.050685	-0.050685	-0.0503453	-0.050685	-0.050685	-0.050685	2008	9313	0
720	1.79354	19.4065	0.031375	1.51999	0.0109235	0.517864	1359	325	12155	18093	0	134089	0	216119	14970	4927	1.79354	1684	7.21793	0	0	0.031375	1.51999	0.0109235	0.517864	18618	0.0199762	-0.976358	0.151058	-0.154621	-0.050685	-0.050685	-0.0502288	-0.050685	-0.050685	-0.050685	2696	15148	0
900	2.41856	23.1821	0.0255919	1.53855	0.012895	0.237733	1527	374	15867	23809	0	262800	0	418797	21278	6675	2.41856	1901	8.34666	0	0	0.0255919	1.53855	0.012895	0.237733	33878	0.0224457	-0.96976	0.174746	0.170378	-0.050685	-0.050685	-0.0503888	-0.050685	-0.050685	-0.050685	3338	21802	0
1080	3.02466	26.6246	0.0122645	1.50033	0.0107484	0.274199	1631	439	19603	29493	0	440053	0	704120	28092	8559	3.02466	2070	9.47005	0	0	0.0122645	1.50033	0.0107484	0.274199	52838	0.0274632	-0.715485	0.201061	0.669071	-0.050685	-0.050685	-0.050573	-0.050685	-0.050685	-0.050685	3962	29153	0
1260	3.61394	28.4083	0.0132884	1.14324	0.00660573	-0.00693741	1803	515	23012	34864	0	665514	0	1078458	35083	10561	3.61394	2318	9.92752	0	0	0.0132884	1.14324	0.00660573	-0.00693741	75898	0.0214408	-0.600589	0.194234	0.775607	-0.050685	-0.050685	-0.0505378	-0.050685	-0.050685	-0.050685	4632	36827	0
1440	4.2277	30.9747	0.0113253	0.94287	0.00840864	0.0227386	1914	573	26817	40670	0	951477	0	1549666	42651	12708	4.2277	2487	10.7829	0	0	0.0113253	0.94287	0.00840864	0.0227386	103745	0.0157618	0.472347	-0.458072	-0.753032	-0.050685	-0.050685	-0.0505496	-0.050685	-0.050685	-0.050685	5290	45260	0
1620	4.85161	33.5239	0.0144471	0.895073	0.0115407	0.108606	2031	606	30698	46662	0	1301256	0	2135767	50552	14923	4.85161	2637	11.6413	0	0	0.0144471	0.895073	0.0115407	0.108606	136821	0.0131127	-0.122469	0.175811	0.976776	-0.050685	-0.050685	-0.050647	-0.050685	-0.050685	-0.050685	5917	54342	0
1800	5.47607	35.97	0.0227283	0.814981	0.004435	0.380257	2096	678	34585	52601	0	1720225	0	2839330	58801	17252	5.47607	2774	12.4676	0	0	0.0227283	0.814981	0.004435	0.380257	173994	0.00705117	-0.168451	0.0401803	0.984891	-0.050685	-0.050685	-0.0507409	-0.050685	-0.050685	-0.050685	6538	63891	0
