time	density	<l>	S2	S2angle	S4	S4angle	#growing	#shrinking	#segments	#trajectories	zippering_ev	crossover_ev	induced_catastrophe_ev	valid_deterministic_ev	invalid_deterministic_ev	stochastic_ev	optical_density	microtubules	segments_per_MT	random_severing_ev	intersection_severing_ev	S2opt	S2opt_angle	S4opt	S4opt_angle	occupied_intersections	R	R_x	R_y	R_z	G_eff_adjusted_normal	G_eff_adjusted_special	G_eff_measured	G_eff_adjusted_min	G_eff_adjusted_max	G_eff_adjusted_S2angle	nucleation_ev	deflection_ev	n_occupied_NCs
180	0.192274	6.38154	0.0205017	-0.737858	0.0331474	0.160282	524	25	1659	2292	0	1409	0	3781	1052	758	0.192274	549	3.02186	0	0	0.0205017	-0.737858	0.0331474	0.160282	194	0.0770746	-0.139983	0.464314	-0.874538	-0.050685	-0.050685	-0.0515361	-0.050685	-0.050685	-0.050685	624	1222	0
360	0.64511	11.5242	0.0165874	0.489958	0.0258672	0.0991236	910	110	4699	6835	0	15576	0	27514	4418	1920	0.64511	1020	4.60686	0	0	0.0165874	0.489958	0.0258672	0.0991236	2397	0.0348736	-0.587964	0.644487	0.48881	-0.050685	-0.050685	-0.050556	-0.050685	-0.050685	-0.050685	1322	4440	0
540	1.2053	16.1248	0.0372978	0.65348	0.0304942	0.190491	1138	224	8370	12334	0	57662	0	92904	9129	3252	1.2053	1362	6.14537	0	0	0.0372978	0.65348	0.0304942	0.190491	8330	0.0556159	-0.529065	0.769263	0.358223	-0.050685	-0.050685	-0.0506755	-0.050685	-0.050685	-0.050685	1969	9196	0
720	1.79995	19.9013	0.0277106	0.80068	0.0203739	0.128627	1371	277	12119	18012	0	136138	0	216718	14613	4765	1.79995	1648	7.35376	0	0	0.0277106	0.80068	0.0203739	0.128627	18720	0.0470189	-0.600848	0.728999	0.327935	-0.050685	-0.050685	-0.050807	-0.050685	-0.050685	-0.050685	2605	14926	0
900	2.45754	23.106	0.0197881	0.802692	0.0284472	0.103252	1568	370	16191	24252	0	261877	0	411928	20879	6552	2.45754	1938	8.35449	0	0	0.0197881	0.802692	0.0284472	0.103252	35053	0.03349	0.575539	-0.724234	-0.379788	-0.050685	-0.050685	-0.0506224	-0.050685	-0.050685	-0.050685	3292	21632	0
1080	3.10513	26.0614	0.0177288	0.805486	0.0160798	0.13575	1737	434	20170	30284	0	454799	0	715658	27848	8503	3.10513	2171	9.29065	0	0	0.0177288	0.805486	0.0160798	0.13575	56038	0.0194017	0.683798	-0.538155	-0.492756	-0.050685	-0.050685	-0.0506028	-0.050685	-0.050685	-0.050685	3955	29203	0
1260	3.75993	28.2053	0.0099995	1.06158	0.0124942	0.114104	1871	558	24355	36564	0	716900	0	1139939	35189	10593	3.75993	2429	10.0268	0	0	0.0099995	1.06158	0.0124942	0.114104	82090	0.0162918	0.801208	-0.58263	-0.13641	-0.050685	-0.050685	-0.0504508	-0.050685	-0.050685	-0.050685	4656	37541	0
1440	4.39416	30.9498	0.0108699	1.17437	0.00927299	0.142326	1984	603	28081	42369	0	1043559	0	1683921	43021	12770	4.39416	2587	10.8547	0	0	0.0108699	1.17437	0.00927299	0.142326	111835	0.0135035	0.878564	-0.451492	0.15582	-0.050685	-0.050685	-0.0504956	-0.050685	-0.050685	-0.050685	5307	46383	0
1620	4.98416	33.3765	0.010498	0.837843	0.0148867	0.154099	2062	659	31511	47681	0	1429499	0	2336557	51306	15190	4.98416	2721	11.5807	0	0	0.010498	0.837843	0.0148867	0.154099	144149	0.00620449	-0.891322	0.32029	-0.320872	-0.050685	-0.050685	-0.0504995	-0.050685	-0.050685	-0.050685	5969	55402	0
1800	5.52879	35.2243	0.0108315	0.52463	0.015106	0.116504	2155	705	34720	52690	0	1869078	0	3097479	59691	17579	5.52879	2860	12.1399	0	0	0.0108315	0.52463	0.015106	0.116504	177260	0.0131432	0.159819	-0.817462	-0.553365	-0.050685	-0.050685	-0.0504696	-0.050685	-0.050685	-0.050685	6644	64700	0
