time	density	<l>	S2	S2angle	S4	S4angle	#growing	#shrinking	#segments	#trajectories	zippering_ev	crossover_ev	induced_catastrophe_ev	valid_deterministic_ev	invalid_deterministic_ev	stochastic_ev	optical_density	microtubules	segments_per_MT	random_severing_ev	intersection_severing_ev	S2opt	S2opt_angle	S4opt	S4opt_angle	occupied_intersections	R	R_x	R_y	R_z	G_eff_adjusted_normal	G_eff_adjusted_special	G_eff_measured	G_eff_adjusted_min	G_eff_adjusted_max	G_eff_adjusted_S2angle	nucleation_ev	deflection_ev	n_occupied_NCs
180	0.19093	6.33695	0.0521431	-1.32402	0.0220139	0.0967405	509	40	1625	2238	0	1623	0	4031	1092	801	0.19093	549	2.95993	0	0	0.0521431	-1.32402	0.0220139	0.0967405	209	0.0747804	-0.974835	0.0433048	-0.218681	-0.050685	-0.050685	-0.0509443	-0.050685	-0.050685	-0.050685	646	1188	0
360	0.634844	11.5101	0.0433893	-1.44649	0.023824	0.339814	897	108	4608	6676	0	16819	0	29264	4510	1967	0.634844	1005	4.58507	0	0	0.0433893	-1.44649	0.023824	0.339814	2320	0.0698333	0.942297	-0.199832	0.268594	-0.050685	-0.050685	-0.0502164	-0.050685	-0.050685	-0.050685	1349	4361	0
540	1.17649	15.9029	0.0472661	-1.37312	0.0151047	0.372363	1140	208	8147	11963	0	58109	0	93971	9289	3364	1.17649	1348	6.04377	0	0	0.0472661	-1.37312	0.0151047	0.372363	7896	0.0620547	-0.963368	0.100276	-0.248731	-0.050685	-0.050685	-0.0503453	-0.050685	-0.050685	-0.050685	2008	8977	0
720	1.78971	19.645	0.0385558	1.56931	0.0116989	0.450707	1411	249	11971	17758	0	139994	0	220927	14682	4849	1.78971	1660	7.21145	0	0	0.0385558	1.56931	0.0116989	0.450707	18449	0.0498132	-0.965853	0.226596	-0.125626	-0.050685	-0.050685	-0.0504481	-0.050685	-0.050685	-0.050685	2661	14663	0
900	2.46538	23.2397	0.0205953	-1.54916	0.0200192	0.546016	1554	379	16082	24144	0	269718	0	425771	21034	6560	2.46538	1933	8.31971	0	0	0.0205953	-1.54916	0.0200192	0.546016	34996	0.031255	-0.822199	0.438647	-0.362737	-0.050685	-0.050685	-0.0505458	-0.050685	-0.050685	-0.050685	3307	21536	0
1080	3.07138	25.8138	0.00888404	1.55368	0.0191471	0.604939	1691	477	19844	29976	0	450549	0	723104	27887	8497	3.07138	2168	9.15314	0	0	0.00888404	1.55368	0.0191471	0.604939	54561	0.0244547	-0.664031	0.538339	-0.518896	-0.050685	-0.050685	-0.0505009	-0.050685	-0.050685	-0.050685	3979	28979	0
1260	3.64528	28.63	0.00860991	-0.394831	0.0106061	0.539946	1810	510	23410	35405	0	686419	0	1113352	35167	10544	3.64528	2320	10.0905	0	0	0.00860991	-0.394831	0.0106061	0.539946	76947	0.0227172	-0.458847	0.64856	-0.607313	-0.050685	-0.050685	-0.0506181	-0.050685	-0.050685	-0.050685	4610	36839	0
1440	4.27471	31.3064	0.0170167	-0.492131	0.0120276	0.231868	1921	567	27187	41186	0	980792	0	1593463	42848	12673	4.27471	2488	10.9273	0	0	0.0170167	-0.492131	0.0120276	0.231868	105864	0.0231963	-0.463524	0.636479	-0.616474	-0.050685	-0.050685	-0.0506103	-0.050685	-0.050685	-0.050685	5271	45266	0
1620	4.88936	33.3547	0.0148069	-0.580712	0.013738	0.255432	2034	637	30794	46887	0	1333821	0	2191915	50831	14924	4.88936	2671	11.529	0	0	0.0148069	-0.580712	0.013738	0.255432	138138	0.0130669	-0.456025	0.775344	-0.436901	-0.050685	-0.050685	-0.0506527	-0.050685	-0.050685	-0.050685	5915	54168	0
1800	5.47149	35.6954	0.00926823	-0.554209	0.0120329	0.101814	2132	661	34282	52246	0	1747066	0	2898067	59274	17304	5.47149	2793	12.2743	0	0	0.00926823	-0.554209	0.0120329	0.101814	173168	0.0154075	0.236067	-0.259723	0.936385	-0.050685	-0.050685	-0.0507487	-0.050685	-0.050685	-0.050685	6535	63652	0
